# UTC: 2025-09-20 16:57:09Z
time_s,dt_s,tas_mps,tas_kts,ias_kts,mach,qbar_Pa,rho,component_qbar_Pa,aoa_deg,beta_deg,F_world_x,F_world_y,F_world_z,M_world_x,M_world_y,M_world_z,Lift_N,Drag_N,Side_N,CL,CD,CY,Cm,Cn,Cl,S_m2,c_m,b_m
7.2600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.3100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.3600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.4100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.4600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.5100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.5600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.6100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.6600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.7100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.7600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.8100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.8600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.9100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7.9600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.0100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.0600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.1100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.1600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.2100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.2600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.3100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.3600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.4100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.4600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.5100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.5600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.6100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.6600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.7100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.7600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.8100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.8600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.9100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
8.9600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.0100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.0600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.1100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.1600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.2100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.2600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.3100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.3600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.4100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.4600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.5100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.5600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.6100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.6600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.7100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.7600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.8100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.8600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.9100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9.9600,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10.0100,0.0100,0,0,0,0,0,1.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
